state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,day,week,month
Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,L3,1,Agent,Two-Door Car,Medsize,24,8,2
Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,L3,3,Agent,Four-Door Car,Medsize,31,5,1
Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,L3,1,Agent,Two-Door Car,Medsize,19,7,2
California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,L2,1,Call Center,SUV,Medsize,20,3,1
Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,3,5,2
Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L3,2,Web,Two-Door Car,Medsize,25,4,1
Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,24,8,2
Arizona,No,Premium,Master or Doctor,Unemployed,M,Urban,Single,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,18,3,1
Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,L2,2,Branch,Four-Door Car,Medsize,17,7,2
California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Small,21,8,2
California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,L3,2,Agent,SUV,Medsize,6,1,1
California,No,Premium,Master or Doctor,Employed,M,Urban,Married,Corporate Auto,L1,2,Agent,Four-Door Car,Medsize,6,5,2
Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,L3,2,Branch,SUV,Medsize,10,2,1
California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,L3,4,Call Center,Four-Door Car,Medsize,18,3,1
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,L2,2,Branch,Four-Door Car,Medsize,17,3,1
Nevada,No,Basic,High School or Below,health related absence,M,Suburban,Married,Personal Auto,L3,2,Call Center,Two-Door Car,Medsize,6,5,2
California,No,Basic,College,health related absence,M,Suburban,Married,Personal Auto,L2,3,Call Center,SUV,Medsize,5,1,1
Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,L2,2,Branch,Four-Door Car,Medsize,27,8,2
California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,L2,1,Call Center,Four-Door Car,Small,14,2,1
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L2,1,Branch,Two-Door Car,Medsize,19,7,2
Washington,No,Extended,Bachelor,health related absence,F,Suburban,Divorced,Personal Auto,L3,4,Call Center,Four-Door Car,Medsize,21,3,1
Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,L3,1,Branch,Four-Door Car,Medsize,24,8,2
California,No,Basic,Bachelor,health related absence,F,Suburban,Married,Corporate Auto,L2,2,Branch,Four-Door Car,Medsize,5,5,2
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L3,2,Call Center,Four-Door Car,Large,29,4,1
California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Small,28,9,2
Washington,No,Extended,Master or Doctor,health related absence,F,Urban,Married,Corporate Auto,L1,1,Branch,SUV,Medsize,12,6,2
Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal Auto,L3,1,Call Center,Four-Door Car,Large,2,5,2
Oregon,No,Extended,Master or Doctor,Employed,F,Suburban,Married,Personal Auto,L3,2,Branch,Four-Door Car,Small,7,6,2
Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,L2,4,Call Center,Four-Door Car,Small,28,9,2
